Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Keywords,Technologies,Ice breaker,Business Model,Location Score,Headcount Score,Industry Score,Company Type Score,Tech Score,Business Score,Total Score,Total Score %,Nouveau Directeur,Levee de Fonds,Acquisition/Fusion,Expansion Géographique,Lancement Produit,News Score,2024 Revenue (USD),News,Date
Pawness,pawness.co,Pet Care Products,Netherlands,1-10,https://www.linkedin.com/company/pawness,Eco-friendly pet products company focusing on sustainable and stylish items for dogs.,Private,"Eco-friendly, sustainable, pet care, dog accessories, natural","Shopify, Google Analytics",I was impressed by your commitment to sustainability in pet products and thought there could be synergy between our brands.,B2C,0,0,0,1,0,0,1,9.0,NaN,NaN,NaN,NaN,NaN,0,5000000,Date inconnue - Pas d actualité,Date inconnue
Bella & Duke,bellaandduke.com,Pet Nutrition,"Scotland, UK",51-200,https://www.linkedin.com/company/bella-and-duke,"Provides raw dog food made with natural ingredients, focusing on pet health and nutrition.",Private,"Pet food, natural ingredients, dog health, raw food, nutrition","Magento, Google Tag Manager",Your approach to natural pet nutrition could align well with our dermatological products.,B2C,0,1,0,1,0,0,2,17.0,NaN,NaN,NaN,NaN,NaN,0,15000000,Date inconnue - Pas d actualité,Date inconnue
Petzey,petzey.com,Pet Health Technology,USA,11-50,https://www.linkedin.com/company/petzey,Digital platform offering on-demand pet health services and consultations.,Private,"Pet health, digital health, telemedicine, app, veterinary","AWS, Firebase","Exploring your innovative app, I see potential for collaboration in enhancing pet health care.",B2C,3,0,0,1,1,0,5,42.0,NaN,NaN,NaN,NaN,NaN,0,2000000,Non disponible - No significant or major news event could be found for the company 'Petzey' up to the year 2024.,Non disponible
Wild One,wildone.com,Pet Care Products,"New York, USA",11-50,https://www.linkedin.com/company/wild-one,Trendy and functional pet essentials with a focus on design and sustainability.,Private,"Pet accessories, stylish, sustainable, pet care, design","Shopify, Klaviyo",Your beautiful design-forward approach to pet products could be a great match for our skincare range.,B2C,3,0,0,1,0,0,4,34.0,NaN,NaN,NaN,NaN,shanghai film fest unveils golden goblet lineup with record submissions the 27th shanghai internatio... | [link](https://variety.com/2025/film/news/shanghai-film-fest-golden-goblet-lineup-1236415204/),1,8000000,Date inconnue - Pas d actualité,Date inconnue
FurHaven,furhaven.com,Pet Comfort Products,"Washington, USA",51-200,https://www.linkedin.com/company/furhaven-pet-products,Manufactures comfortable pet beds and products to enhance the wellbeing of pets.,Private,"Pet beds, comfort, pet care, wellness, accessories","Shopify, Google Analytics","Noticing your focus on pet comfort, we might enhance their wellbeing together with our skin care products.",B2C,3,1,0,1,0,0,5,42.0,NaN,NaN,NaN,NaN,NaN,0,6000000,"15 janvier 2024 - FurHaven announced a strategic partnership with PetSmart, expanding its retail presence across North America.",15 janvier 2024
Pets at Home,petsathome.com,Retail Pet Supplies,UK,"5001-10,000",https://www.linkedin.com/company/pets-at-home,"Large retail chain offering pet supplies, food, accessories, and services.",Public,"Retail, pet supplies, pet services, pet care, accessories","Microsoft Dynamics, Google Tag Manager","As a leader in pet supplies, your extensive network could be ideal for introducing our dermatological products.",B2C,0,0,0,1,0,0,1,9.0,NaN,NaN,NaN,NaN,dc universe online has launched light & rain: fearful day dimensional ink games and daybreak games r... | [link](https://bleedingcool.com/games/dc-universe-online-has-launched-light-rain-fearful-day/),2,1000000000,Date inconnue - Pas d actualité,Date inconnue
PetCo,petco.com,Retail Pet Supplies,USA,"10,001+",https://www.linkedin.com/company/petco,"Health and wellness company providing products, services, and advice for pet health.",Public,"Retail, pet health, pet supplies, wellness, services","Salesforce, Google Analytics",Your commitment to pet health and wellness aligns perfectly with our innovative skincare solutions.,B2C,3,0,0,1,0,0,4,34.0,NaN,NaN,NaN,NaN,NaN,0,4500000000,"19 avril 2024 - PetCo announced a major expansion plan, aiming to open 100 new stores across the United States by the end of 2025.",19 avril 2024
PetSmart,petsmart.com,Retail Pet Supplies,USA,"10,001+",https://www.linkedin.com/company/petsmart,Retailer offering a broad range of pet supplies and services including grooming and training.,Public,"Retail, pet supplies, grooming, pet care, services","Adobe Experience Manager, Oracle",Your comprehensive pet care services would pair well with our specialized skincare products.,B2C,3,0,0,1,0,0,4,34.0,NaN,NaN,NaN,NaN,NaN,0,5500000000,Date inconnue - Pas d actualité,Date inconnue
Zooplus,zooplus.com,Retail Pet Supplies,Germany,501-1000,https://www.linkedin.com/company/zooplus-ag,Online retailer for pet food and supplies with a wide range of products across Europe.,Public,"Online retail, pet supplies, pet food, e-commerce, Europe","SAP, Salesforce","I admire your wide reach in the European market, which could be crucial for our expansion plans.",B2C,0,0,0,1,0,0,1,9.0,NaN,NaN,NaN,NaN,NaN,0,800000000,Date inconnue - Pas d actualité,Date inconnue
Butternut Box,butternutbox.com,Pet Nutrition,"London, UK",51-200,https://www.linkedin.com/company/butternutbox,Delivers freshly prepared dog food with natural ingredients directly to customers.,Private,"Dog food, fresh food, delivery, natural ingredients, nutrition","AWS, Stripe",Your personalized approach to dog nutrition is something we also cherish in skincare solutions.,B2C,0,1,0,1,1,0,3,25.0,NaN,NaN,NaN,NaN,NaN,0,20000000,Date inconnue - Pas d actualité,Date inconnue
Fetch.co.uk,fetch.co.uk,Retail Pet Supplies,UK,201-500,https://www.linkedin.com/company/fetch-co-uk,"Online pet store part of Ocado, offering a wide range of pet foods and products.",Private,"Online retail, pet supplies, pet care, e-commerce, UK","Magento, Google Analytics","Seeing your diverse range of quality pet products, a partnership could be mutually beneficial.",B2C,0,1,0,1,0,0,2,17.0,NaN,NaN,NaN,NaN,NaN,0,15000000,Date inconnue - Pas d actualité,Date inconnue
Dogily,dogily.com,Pet Care Products,USA,1-10,https://www.linkedin.com/company/dogily,Offers high-end pet accessories that focus on style and pet comfort.,Private,"Pet accessories, luxury, stylish, pet care, comfort","Shopify, Google Analytics",Your luxury line of pet accessories could be complemented by our premium skincare products.,B2C,3,0,0,1,0,0,4,34.0,NaN,NaN,NaN,NaN,NaN,0,3000000,Date inconnue - No significant or recent event found for this company,Date inconnue
Chewy,chewy.com,Retail Pet Supplies,"Florida, USA",1001-5000,https://www.linkedin.com/company/chewy-com,Online retailer of pet food and products offering a wide selection and competitive prices.,Public,"Online retail, pet supplies, pet care, e-commerce, USA","Adobe Commerce, Google Cloud",Your customer-focused philosophy is something we greatly value in our skincare line.,B2C,3,2,0,1,1,0,7,59.0,NaN,NaN,NaN,7-eleven japan releases new must-try sweets that are a hit with customers convenience store chain ha... | [link](https://soranews24.com/2025/06/01/7-eleven-japan-releases-new-must-try-sweets-that-are-a-hit-with-customers/),NaN,1,7000000000,"15 mars 2024 - Chewy announced a significant expansion of its pet healthcare services, including telehealth and insurance offerings, aiming to become a comprehensive pet care provider.",15 mars 2024
Petlibro,petlibro.com,Pet Care Products,USA,11-50,https://www.linkedin.com/company/petlibro,Focused on innovative pet care products to enhance the health and happiness of pets.,Private,"Pet care, health, innovative, pet products, wellness","Shopify, Google Analytics","Innovating in pet health, we see a great opportunity to introduce our skincare products to your audience.",B2C,3,0,0,1,0,0,4,34.0,NaN,NaN,NaN,NaN,NaN,0,5000000,Date inconnue - Pas d actualité,Date inconnue
Lily's Kitchen,lilyskitchen.co.uk,Pet Nutrition,"London, UK",51-200,https://www.linkedin.com/company/lily's-kitchen,Produces natural and organic pet food focusing on proper nutrition and health.,Private,"Organic pet food, natural ingredients, pet health, UK, nutrition","Magento, Google Tag Manager",Your focus on natural and organic pet food aligns perfectly with our dermocosmetic approach.,B2C,0,1,0,1,0,0,2,17.0,NaN,NaN,NaN,NaN,NaN,0,25000000,Date inconnue - Pas d actualité,Date inconnue
